open,currentAccountsPayable,researchAndDevelopment,volume,propertyPlantEquipment,otherNonCurrentAssets,nonInterestIncome,dividendPayout,depreciationDepletionAndAmortization,ebitda,comprehensiveIncomeNetOfTax,depreciationAndAmortization,longTermDebtNoncurrent,totalRevenue,otherNonOperatingIncome,company,date,close
143.16,582000000,586000000,28105982,1726000000.0,1097000000,-1000000.0,224000000,62000000,936000000,714000000,52000000,7898000000.0,3599000000.0,10000000,ITW,6/30/2017,143.25
138.0,585000000,589000000,20453105,1759000000.0,1119000000,1000000.0,224000000,65000000,942000000,749000000,51000000,7958000000.0,3615000000.0,10000000,ITW,9/29/2017,147.96
169.31,590000000,2400000000,24672983,1778000000.0,1195000000,-24000000.0,267000000,68000000,912000000,-76000000,50000000,7478000000.0,3629000000.0,-25000000,ITW,12/29/2017,166.85
161.56,655000000,612000000,33946030,1829000000.0,1232000000,1000000.0,266000000,67000000,963000000,744000000,48000000,7945000000.0,3744000000.0,12000000,ITW,3/29/2018,156.66
145.04,623000000,620000000,33834293,1783000000.0,1174000000,3831000000.0,264000000,68000000,1006000000,376000000,48000000,7727000000.0,3831000000.0,26000000,ITW,6/29/2018,138.54
138.69,576000000,581000000,26003466,1799000000.0,1181000000,3613000000.0,262000000,68000000,946000000,579000000,47000000,7659000000.0,3613000000.0,10000000,ITW,9/28/2018,141.12
140.79,524000000,2391000000,35830889,1791000000.0,1030000000,3580000000.0,332000000,69000000,925000000,607000000,46000000,6029000000.0,3580000000.0,-42000000,ITW,12/31/2018,126.69
145.04,568000000,611000000,30767301,1765000000.0,1274000000,3552000000.0,328000000,67000000,896000000,632000000,43000000,7201000000.0,3489000000.0,14000000,ITW,3/29/2019,143.53
139.97,512000000,598000000,23449574,1717000000.0,1234000000,3609000000.0,326000000,66000000,921000000,568000000,41000000,8542000000.0,3554000000.0,9000000,ITW,6/28/2019,150.81
148.02,493000000,566000000,23589333,1693000000.0,1223000000,3479000000.0,323000000,66000000,932000000,559000000,38000000,8582000000.0,3427000000.0,26000000,ITW,9/30/2019,156.49
174.67,472000000,2361000000,21188224,1729000000.0,1227000000,3469000000.0,344000000,68000000,919000000,641000000,37000000,7754000000.0,3469000000.0,-44000000,ITW,12/31/2019,179.63
168.92,488000000,560000000,59200330,1704000000.0,1229000000,3228000000.0,342000000,68000000,822000000,288000000,36000000,8199000000.0,3177000000.0,25000000,ITW,3/31/2020,142.12
172.94,402000000,486000000,33182934,1711000000.0,1229000000,2564000000.0,338000000,65000000,492000000,393000000,35000000,8816000000.0,2513000000.0,8000000,ITW,6/30/2020,174.85
197.63,521000000,560000000,21938130,1736000000.0,1259000000,3307000000.0,339000000,70000000,839000000,654000000,48000000,9151000000.0,3255000000.0,2000000,ITW,9/30/2020,193.21
213.42,534000000,2163000000,23754768,1777000000.0,1308000000,3475000000.0,360000000,70000000,911000000,642000000,35000000,7772000000.0,3475000000.0,-40000000,ITW,12/31/2020,203.88
